,question,translated_question
451,L'automédication peut-elle aider à vaincre la maladie ? ,Can self-medication help overcome the disease? 
453,Comment puis-je me faire tester?,How can I get tested?
454,si je fais atchum cest grave?,if i do atchum is it serious?
456,Que dois-je faire si j'ai des symptômes,What should I do if I have symptoms
457,Doit-on mettre notre linge au lavage à chaque jour? Fini de porter les mêmes jeans jour après jour?,Should we put our laundry in the wash every day? No more wearing the same jeans day after day?
461,"Lorsque l’on parle du nombre de cas dans le monde, est-ce que les gens rétablis sont compter? Ce serait bien de savoir le nombre de cas actifs actuellement dans le monde sans compter les gens rétablis.","When talking about the number of cases in the world, are recovered people counting? It would be nice to know the number of active cases currently in the world without counting the people who have recovered."
462,Est-ce que je dois laver tous mes achats à l’épicerie?,Do I have to wash all my groceries?
463,Est-ce que mon employeur doit me payer durant l'isolement ?,Does my employer have to pay me during isolation?
464,est-ce qu'on peut attraper la Covid-19 plus d'une fois?,can we catch the Covid-19 more than once?
465,Pourquoi dois-je éviter les contacts avec d'autres personnes?,Why should I avoid contact with other people?
466,Est-ce que vous avez de l’information à transmette aux travailleurs étrangers (en espagnol),Do you have any information for foreign workers (in Spanish)
467,Pourquoi doit-on rester en confinement?,Why do we have to stay in confinement?
470,"Je suis enceinte, est ce que j’ai plus de risque? ","I am pregnant, do I have more risk? "
471,Est-ce qu’un simple mal de gorge peut être associé au COVID-19?,Can a simple sore throat be associated with COVID-19?
472,Des médicaments ou plante qui aideraient à guérir ou prévenir ,Medicines or plants that would help heal or prevent 
473,Quand est-ce que ça va être terminé?,When is it going to be finished?
474,Je suis en isolement parce que je suis de retour de France. Est-ce que ma famille doit aussi être en isolement?,I am in solitary confinement because I am back from France. Should my family also be in solitary confinement?
475,"Si nous avons eu des symptômes et qu’ils sont désormais résorbés, sommes-nous encore contagieux?","If we had symptoms and they are now resolved, are we still contagious?"
476,Puis-je refuser d'aller travailler en raison du virus ?,Can I refuse to go to work because of the virus?
478,Comment l'activité économique va être reprise après les semaines de confinement ?,How will economic activity be resumed after the weeks of confinement?
479,est-ce qu’un employeur peut obliger ses employés à se présenter sur leur lieu de travail?,can an employer compel its employees to report to their workplace?
480,Est-ce que c’est gens autour de moi son à risque?,Is it people around me at risk?
483,Qu’est-ce qu’on devrait stocker?,What should we store?
485,"Mes enfants  toussent le matin et je me sens très fatiguée,  suis-je à risque?","My children cough in the morning and I feel very tired, am I at risk?"
486, Quels sont les manifestations du covid 19 chez les enfants, What are the manifestations of covid 19 in children
487,Quelles sont les symptomes du Covid-19?,What are the symptoms of Covid-19?
489,Je tousse mais je ne fais pas de fièvre. Est-ce que j’ai la covid-19?,I cough but I don't have a fever. Do I have covid-19?
492,Est-ce que le Covid-19 est plus contagieux que l'influenza?,Is Covid-19 more contagious than influenza?
493,Combien de temps après l'infection se développent les premiers symptômes?,How soon after infection do the first symptoms develop?
495,Je suis seul a la maison et j'ai pas d'argent quoi faire?,I'm home alone and I have no money what to do?
496,"Même s'il vit plusieurs heures sur un surface, est-il aussi fort après 1 heure qu'après 1 minute. ","Even if it lives for several hours on a surface, it is as strong after 1 hour as after 1 minute. "
498,"Si quelque est infecté, était-il contagieux avant d'avoir des symptômes? Combien de temps avant?","If anyone is infected, was it contagious before having symptoms? How long before?"
499,"Je reviens de voyage d’un pays non infectée, est ce que je dois être en quarantaine? ","I have just returned from a trip from an uninfected country, should I be in quarantine? "
501,Est-ce que ça vaut vraiment la peine de faire ces mesures de confinement.?,Is it really worth doing these containment measures?
503,Quels sont les symptômes du covid-19,What are the symptoms of covid-19
505,Comment se propage de COVID? ,How is COVID spread? 
506,Est ce que mon pharmacien peut me dépister? ,Can my pharmacist screen me? 
514,"Si je tousse, dois-je porter un chandail à manches longues  pour tousser dans mon coude ou vaut-il mieux porter un masque ?","If I cough, should I wear a long-sleeved sweater to cough in my elbow or is it better to wear a mask?"
516,"Je suis malade et je n’ai plus de nourriture à la maison, est-ce que quelqu’un peut m’aider?","I am sick and I have no food left at home, can someone help me?"
518,puis-je transmettre le covid-21 à quelqu’un si je reviens de voyage?,can i pass covid-21 to someone if i come back from a trip?
521,"Si je n'ai pas de voiture mais que je devrais me faire tester, comment me rendre au centre de dépistage sans risquer de contaminer quelqu'un?","If I don't have a car but I should get tested, how can I get to the testing center without risking contaminating someone?"
522,Est-ce que boire de l'eau fréquemment peut vraiment aider à ne pas garder le virus dans la gorge%,Can drinking water frequently really help to keep the virus out of your throat%
523,Les regions chaudes ou froides sont-elles plus à risque?,Are hot or cold regions more at risk?
524,Est-ce que éternue est un symptôme?,Is sneezing a symptom?
526,Combien de temps dur la contamination par le virus?,How long does virus contamination last?
527,"Si j'ai mal à la gorges, est-ce que j'ai le Covid-19?","If I have a sore throat, do I have the Covid-19?"
530,Quels sont les symptômes du covid ,What are the symptoms of covid 
532,Est-ce que le virus est plus facile à attraper que le rhume ordinaire?,Is the virus easier to catch than the common cold?
534,Est-ce que les asmathiques sont plus à risques de complications?,Are asmathics more at risk of complications?
535,ou aller pour faire un test,or go for a test
538,Comment peut-on guérir de la covid-19?,How can covid-19 be cured?
539,penis rapé,grated penis
542,Après combien de temps les symptômes commencent à apparaître ,After how long the symptoms start to appear 
543,"En tant qu'étudiante étrangère, est-ce que l'assurance maladie couvrira les dépenses en cas de la maladie? ","As a foreign student, will health insurance cover expenses in the event of illness? "
544,Est-ce que la livraison d'épicerie est vraiment meilleure que d'y aller soit même? Ne mettons-nous pas les livreurs en danger?,Is grocery delivery really better than going there yourself? Are we not putting delivery people at risk?
548,Des vaccins sont-ils en train d'être tester? Il semble que c'est tôt ,Are vaccines being tested? It seems it's early
550,Nombre de cas au Québec ?,Number of cases in Quebec?
552,Quand est-ce que ça va se terminer?,When will it end?
554,combien de temps faut il avant d'avoir les symptomes?,how long does it take before you have symptoms?
555,Quelles actions puis-je poser pour aider les entreprises à se sortir de la crise?,What actions can I take to help companies get out of the crisis?
557,"Mon voisin revient de voyage, que dois-je faire? ","My neighbor is coming back from a trip, what should I do? "
560,Quand faire le test ?,When to take the test?
563,Quel est le principal mode de transmission de la COVID-19?,What is the main mode of transmission of COVID-19?
565,Puis-je passer un test si je ne reviens pas de l’étranger et que j’ai des symptômes ,Can I take a test if I do not come back from abroad and I have symptoms 
566,Quel est le temps d’incubation du virus,What is the incubation time of the virus
567,Puis-je donner des idées au gouvernement pour stimuler l'économie?,Can I give the government ideas to stimulate the economy?
568,Quelkea sont les complications de la maladie ?,What are the complications of the disease?
569,Est-ce qu’on va limiter le nombre d’articles par personnes à l’épicerie pour éviter qu’il en manque?,Are we going to limit the number of items per person at the grocery store to prevent them from running out?
570,Est-ce que le Québec a assez de lits ?,Does Quebec have enough beds?
572,"J’ai une toux, mais je n’ai pas voyagé, que dois-je faire?","I have a cough, but I have not traveled, what should I do?"
573,Existe-t-il un remède pour guérir plus rapidement ou prévenir le covid-19?,Is there a cure to heal faster or prevent covid-19?
